Date,GSPCRet,FTSERet
1/1/2010,0,0
1/4/2010,-0.008911696,0
1/5/2010,0.014419265,0.016146595
1/6/2010,0.002692712,0.004036179
1/7/2010,0.000493135,0.001358081
1/8/2010,0.003740308,-0.00059671
1/11/2010,0.004769703,0.001357048
1/12/2010,-0.001876071,0.000704691
1/13/2010,-0.005682762,-0.007114336
1/14/2010,0.007359466,-0.004582937
1/15/2010,0.001780529,0.004512688
1/18/2010,0,-0.007784419
1/19/2010,-0.01018536,0.00714888
1/20/2010,0.010492612,0.003403501
1/21/2010,-0.008075176,-0.016741995
1/22/2010,-0.020365741,-0.015809421
1/25/2010,-0.020699393,-0.006016775
1/26/2010,0.003112435,-0.008052083
1/27/2010,-0.003522638,0.003155732
1/28/2010,0.004569951,-0.011256591
1/29/2010,-0.008496502,-0.013761343
2/1/2010,-0.012614789,0.008317586
2/2/2010,0.015048128,0.01135201
2/3/2010,0.009742667,0.006841465
2/4/2010,-0.003107238,-0.005697123
2/5/2010,-0.03019367,-0.021682096
2/8/2010,0.001306257,-0.015254977
2/9/2010,-0.005114876,0.006204411
2/10/2010,0.009074953,0.003829311
2/11/2010,-0.002412009,0.00395168
2/12/2010,0.008293483,0.005748246
2/15/2010,0,-0.0036811
2/16/2010,0.002955578,0.004861449
2/17/2010,0.015762707,0.014823434
2/18/2010,0.002636538,0.006197441
2/19/2010,0.005877875,0.009191525
2/22/2010,0.004079648,0.006215864
2/23/2010,-0.00226127,-0.00113846
2/24/2010,-0.010474113,-0.006913174
2/25/2010,0.004881854,0.005230345
2/26/2010,0.001688992,-0.012109474
3/1/2010,0.002048781,0.014455648
3/2/2010,0.010539575,0.009599384
3/3/2010,0.002103809,0.014465713
3/4/2010,-0.0002144,0.008953173
3/5/2010,0.005361355,-0.001084363
3/8/2010,0.011803212,0.01313497
3/9/2010,-0.000737848,0.001232257
3/10/2010,0.002338261,-0.000784845
3/11/2010,0.00328006,0.00683653
3/12/2010,0.006774713,-0.004130818
3/15/2010,-0.002761052,0.00149545
3/16/2010,0.002002496,-0.005652682
3/17/2010,0.007916013,0.004737303
3/18/2010,0.005336538,0.004305778
3/19/2010,0.000471687,-0.000354321
3/22/2010,-0.00808281,0.001329174
3/23/2010,0.007967138,-0.00099115
3/24/2010,0.005340884,0.005155478
3/25/2010,-0.002276731,0.000757862
3/26/2010,-0.002094026,0.0087709
3/29/2010,0.000111346,-0.004312411
3/30/2010,0.005172551,0.001350201
3/31/2010,-0.00170394,-0.006724288
4/1/2010,-0.000443797,0.001287008
4/2/2010,0,0.011497254
4/5/2010,0.006386432,0
4/6/2010,0.006193253,0
4/7/2010,0.001871798,0.006179394
4/8/2010,-0.005453473,-0.003165837
4/9/2010,0.004840254,-0.008573246
4/12/2010,0.006290661,0.010205297
4/13/2010,0.000836862,0.001161011
4/14/2010,0.002299447,-0.002769268
4/15/2010,0.010077734,0.006005104
4/16/2010,-0.000495532,0.004951468
4/19/2010,-0.014964827,-0.013905579
4/20/2010,0.005855393,-0.002802942
4/21/2010,0.00677208,0.009741841
4/22/2010,-0.003843744,-0.010425902
4/23/2010,0.00444897,-0.010151326
4/26/2010,0.007616673,0.010308438
4/27/2010,-0.005874685,0.005276256
4/28/2010,-0.020935332,-0.026138776
4/29/2010,0.007352825,-0.003015955
4/30/2010,0.011288,0.00558474
5/3/2010,-0.015073347,-0.011481363
5/4/2010,0.007504791,0
5/5/2010,-0.023599173,-0.025606344
5/6/2010,-0.004156534,-0.012788563
5/7/2010,-0.032068539,-0.015144406
5/10/2010,-0.004232343,-0.026230755
5/11/2010,0.030402661,0.051610365
5/12/2010,-0.000830136,-0.009874839
5/13/2010,0.01264463,0.009242211
5/14/2010,-0.010982614,0.009324825
5/17/2010,-0.017862169,-0.031433514
5/18/2010,0.001988535,-7.60E-05
5/19/2010,-0.016869002,0.008513027
5/20/2010,-0.01092382,-0.028112169
5/21/2010,-0.036194807,-0.016478936
5/24/2010,0.016415887,-0.002010643
5/25/2010,-0.016003231,0.001323391
5/26/2010,0.00757899,-0.025426049
5/27/2010,-0.001152932,0.019713785
5/28/2010,0.026362037,0.031182409
5/31/2010,0,-0.001308957
6/1/2010,-0.013867274,0
6/2/2010,-0.013142682,-0.004837734
6/3/2010,0.024053771,-0.002324095
6/4/2010,-0.000354828,0.011628209
6/7/2010,-0.029669698,-0.016349438
6/8/2010,-0.014101467,-0.011100254
6/9/2010,0.011362607,-0.008068474
6/10/2010,-0.003744983,0.011475221
6/11/2010,0.022554478,0.009162606
6/14/2010,0.011407173,0.006078947
6/15/2010,-0.003461223,0.007436509
6/16/2010,0.020903455,0.003017956
6/17/2010,0.001759359,0.003852217
6/18/2010,0.000161341,0.003054659
6/21/2010,0.005940013,-0.000590056
6/22/2010,-0.007917789,0.009198654
6/23/2010,-0.016455766,-0.009831876
6/24/2010,-0.00423514,-0.013055079
6/25/2010,-0.014510626,-0.015120171
6/28/2010,0.002232373,-0.010529037
6/29/2010,-0.005939698,0.004993599
6/30/2010,-0.028512667,-0.031054675
7/1/2010,-0.009091338,0.000549369
7/2/2010,-0.003345894,-0.022595558
7/5/2010,0,0.006721107
7/6/2010,0.000428104,-0.003017734
7/7/2010,0.000437776,0.029335545
7/8/2010,0.033426025,0.010030172
7/9/2010,0.007131257,0.018086504
7/12/2010,0.006286764,0.005366742
7/13/2010,0.00317485,0.006643437
7/14/2010,0.013843484,0.020127734
7/15/2010,-0.001049666,-0.003320053
7/16/2010,-0.000557339,-0.008032777
7/19/2010,-0.024683458,-0.010055054
7/20/2010,-0.002174576,-0.002054721
7/21/2010,0.020797924,-0.001709264
7/22/2010,-0.013371151,0.014612335
7/23/2010,0.018682289,0.019023454
7/26/2010,0.009815295,-0.000225772
7/27/2010,0.013120049,0.007246922
7/28/2010,-0.004045267,0.002728429
7/29/2010,-0.004286348,-0.008572972
7/30/2010,-0.008690792,-0.001071526
8/2/2010,0.008275453,-0.010538201
8/3/2010,0.016080771,0.026454944
8/4/2010,-0.003803213,-0.000111189
8/5/2010,0.004210275,-0.001908608
8/6/2010,-0.003295567,-0.003787529
8/9/2010,0.000650675,-0.00622459
8/10/2010,0.000106871,0.014646332
8/11/2010,-0.005369954,-0.006302578
8/12/2010,-0.031704137,-0.024402892
8/13/2010,0.000684238,0.003984577
8/16/2010,-0.004370628,0.001765976
8/17/2010,0.003406105,0.000132728
8/18/2010,0.01010019,0.014120278
8/19/2010,0.000329633,-0.008914924
8/20/2010,-0.015387515,-0.017273586
8/23/2010,-0.002110409,-0.003070251
8/24/2010,-0.009465635,0.007603026
8/25/2010,-0.013374691,-0.015053069
8/26/2010,0.006959188,-0.009038033
8/27/2010,-0.006636507,0.009081282
8/30/2010,0.012989988,0.008883257
8/31/2010,-0.015071991,0
9/1/2010,0.00271279,0.004537084
9/2/2010,0.029474588,0.027022832
9/3/2010,0.011983372,0.000857204
9/6/2010,0,0.010649822
9/7/2010,0.008220472,0.002026454
9/8/2010,-0.009287131,-0.005772979
9/9/2010,0.008046834,0.004049778
9/10/2010,0.003105773,0.011879109
9/13/2010,0.007976008,0.001346857
9/14/2010,0.006987757,0.011614785
9/15/2010,-0.001543027,0.000341371
9/16/2010,0.003984135,-0.002119446
9/17/2010,0.002224417,-0.002789978
9/20/2010,0.000159742,-0.005703886
9/21/2010,0.014424315,0.017064537
9/22/2010,-0.002913806,-0.004694298
9/23/2010,-0.007362956,-0.004357859
9/24/2010,0.000521586,-0.000864534
9/27/2010,0.014977665,0.009266085
9/28/2010,-0.005510827,-0.004483361
9/29/2010,0.003886809,0.000897118
9/30/2010,-0.000680209,-0.00163131
10/1/2010,-0.002164089,-0.003716752
10/4/2010,0.001285513,0.007983961
10/5/2010,-0.003738041,-0.006597633
10/6/2010,0.016770702,0.014362816
10/7/2010,0.001517393,0.008091149
10/8/2010,-0.002763468,-0.003397016
10/11/2010,0.006008461,-0.000794758
10/12/2010,-0.000892388,0.002615916
10/13/2010,0.006046584,-0.001903922
10/14/2010,0.005549295,0.015154692
